type,set,faction,name,text
Power,The Empty Throne [Set1],Fire,Fire Sigil,NONE
Power,Rare,The Flame of Xulta [Set7],Emblem of Shavka,"Gain Fire and take 1 damage. Decimate: If you have Fire Fire Fire, create and draw a 3/3 Ash Elemental with Overwhelm ."
Power,Common,Dark Frontier [Set6],Granite Coin,Depleted Gain Fire. Onslaught: Deal 1 damage to an enemy.
Power,Uncommon,The Empty Throne [Set1],Granite Monument,Depleted Gain Fire. Transmute 5: 4/1 Magmahound with Charge .
Power,Common,The Dusk Road [Set3],Granite Waystone,"Gain Fire, then if you have Fire Fire Fire Fire, create and draw a 1/1 Grenadin."
Power,Uncommon,The Fall of Argenport [Set4],Shugo Standard,Depleted Gain Fire. Transmute 5: Shugo Tactic.
Unit,Defiance [Set5],Fire,Fire Animated Sentinel,NONE
Unit,Common,The Dusk Road [Set3],Helpful Doorbot,NONE
Spell,Common,Defiance [Set5],Melt Down,Kill an enemy attachment.
Spell,Rare,The Empty Throne [Set1],Trail Stories,Reduce the cost of a spell in your hand by 1.
Unit,Legendary,The Flame of Xulta [Set7],"Akko, Inspired Artist",Mastery 1: Play a +1/+2 weapon on Akko. Mastery 9: Units and weapons in your deck get +4/+2 and Overwhelm .
Spell,Fast Spell,Rare,Blazing Salvo,Deal 2 damage to a unit. You may swap a card from your hand with a 2-cost card in your Black Market .
Spell,Uncommon,"Campaign
Dead Reckoning [Set1003]",Bore,"Kill an enemy attachment. Create and draw a copy of Bore with cost increased by 1, then discard it at the end of the turn."
Spell,Fast Spell,Uncommon,Bottoms Up,Give a unit +2 Strength this turn. Amplify 2: Give a unit +2 Strength this turn.
Spell,Common,Dark Frontier [Set6],Brenn's Scrying,Warp Scout .
Unit,Uncommon,Defiance [Set5],Cautious Traveler,Cautious Traveler can't attack unless you have a Sentinel.
Spell,Fast Spell,Common,Char,Deal 2 damage to an enemy.
Attachment,Relic Weapon,Rare,Charchain Flail,Summon: Spend your remaining power to give Charchain Flail that much Strength.
Spell,Rare,"Campaign
Promises by Firelight [Set1007]",Cinder Clutch,Deal 1 damage to an enemy for each Dragon you have with a different name. Then play a 3/1 Flamefang with Reckless for each damage Cinder Clutch dealt.
Unit,Common,The Fall of Argenport [Set4],Drifter,NONE
Spell,Uncommon,The Fall of Argenport [Set4],Feed the Flames,Discard a card to create and draw two 3/1 Flamefangs with Reckless .
Spell,Fast Spell,The Empty Throne [Set1],Firebomb,Destiny Deal 5 damage to yourself.
Unit,Uncommon,Omens of the Past [Set2],Firemane Cub,Summon: Deal 1 damage to an enemy unit.
Spell,Uncommon,The Empty Throne [Set1],Flame Blast,Deal 1 damage. Spend your remaining power to increase the damage dealt by that much.
Unit,The Fall of Argenport [Set4],Fire,Flamefang,Reckless
Unit,Common,Omens of the Past [Set2],Forge Wolf,Summon: Deal 1 damage to the enemy player.
Attachment,Relic Weapon,Common,Furyblade,NONE
Unit,The Empty Throne [Set1],Fire,Grenadin,NONE
Unit,Common,The Empty Throne [Set1],Grenadin Drone,Summon: Play a 1/1 Grenadin.
Attachment,Weapon,Common,Heavy Axe,NONE
Attachment,Weapon,Uncommon,Hidden Shiv,Warp
Unit,Common,The Dusk Road [Set3],Iceberg Frontrunner,Charge
Attachment,Weapon,The Empty Throne [Set1],Iron Sword,NONE
Spell,Uncommon,The Dusk Road [Set3],Kaleb's Intervention,"- Play a 1/1 Grenadin, or - Give one of your units +2/+2 and Overwhelm this turn, or - Kill an enemy weapon or relic."
Unit,Rare,Echoes of Eternity [Set8],"Kazuo, Melee Virtuoso","When you play a relic weapon, play a +1 Strength weapon with Overwhelm on Kazuo. Ultimate: Pay 4 to Invoke Fire."
Unit,Legendary,The Dusk Road [Set3],Kennelmaster,"At the start of your turn, if you have three or more spells in your void, play a 2/2 Hound with Charge and Reckless ."
Unit,Uncommon,Echoes of Eternity [Set8],Kindling Carver,"Exhaust Kindling Carver and sacrifice another unit to draw a card and reduce its cost by 1 this turn. At the end of your turn, discard it."
Spell,Fast Spell,Common,Light 'em Up,Your units get +1 Strength this turn.
Spell,Legendary,The Empty Throne [Set1],Light the Fuse,Put five Firebombs into the enemy deck.
Attachment,Weapon,Rare,Longbarrel,Overwhelm Spellcraft 3: Play Piercing Shot.
Spell,Uncommon,The Fall of Argenport [Set4],Mindfire,Exhaust two enemy units.
Unit,Common,Dark Frontier [Set6],Needlespitter,"When you scout, Needlespitter gets +3 Strength this turn."
Spell,Rare,Omens of the Past [Set2],On the Hunt,Put a 4/4 Hellhound with Charge on top of your deck.
Unit,Rare,"Campaign
Dead Reckoning [Set1003]",Oni Dragonsmith,Your Dragons cost 1 less. Dragon Ally: +2/+1 and Quickdraw .
Unit,Common,Dark Frontier [Set6],Oni Patrol,Onslaught: +1/+1.
Unit,Common,The Empty Throne [Set1],Oni Ronin,Warcry
Spell,Fast Spell,Common,Pummel,Give one of your attacking units +2/+2 this turn. Scout .
Unit,Rare,The Empty Throne [Set1],Pyroknight,Overwhelm Ultimate: Pay 6 to give Pyroknight +4/+4.
Unit,Common,The Fall of Argenport [Set4],Rambot,Infiltrate: The top unit of your deck gets +4 Strength. Then sacrifice Rambot.
Unit,Common,Defiance [Set5],Research Assistant,Pay 2 and sacrifice Research Assistant to get +3 power this turn. Summon: Gain Time or Primal.
Spell,Fast Spell,Common,Ruin,Kill an enemy attachment.
Spell,Fast Spell,Common,Ruinous Burst,Deal 1 damage to two enemies.
Unit,Uncommon,The Empty Throne [Set1],Ruthless Stranger,Strangers have +1 Strength.
Unit,Common,The Dusk Road [Set3],Scrap Hound,"Ultimate: Pay 4 and sacrifice another unit to give Scrap Hound +2/+2. If it was a Grenadin, Scrap Hound gets +5/+5 instead."
Attachment,Weapon,Dark Frontier [Set6],Shingane Mark,Overwhelm
Spell,Uncommon,"Campaign
Into Shadow [Set1004]",Signal Flare,Deal 2 damage. Scout .
Unit,Common,Defiance [Set5],Softfoot Burglar,"When you play a spell, Softfoot Burglar gets +1/+1 this turn. Renown: Create and draw a Treasure Trove."
Unit,Rare,Dark Frontier [Set6],Stonehewer,"Shift 2: When Stonehewer emerges, you get +2 power this turn."
Spell,Fast Spell,Common,Temper,Deal 1 damage. The top unit or weapon of your deck gets +1/+1.
Unit,Common,The Empty Throne [Set1],Ticking Grenadin,Entomb: Deal 3 damage to the enemy player.
Spell,Common,The Empty Throne [Set1],Torch,Deal 3 damage to a unit or player.
Attachment,Cursed Relic,Uncommon,Urn of Choking Embers,"When the cursed player plays a unit, exhaust it."
Attachment,Weapon,Uncommon,Warhelm,"Charge , Warcry"
Unit,Defiance [Set5],Fire,Wildcat,Charge
Unit,Common,Omens of the Past [Set2],Young Gun,Quickdraw
Unit,Uncommon,The Fall of Argenport [Set4],Ankle Cutter,"When a unit with Endurance or Lifesteal takes damage, kill it."
Unit,The Flame of Xulta [Set7],Fire,Ash Elemental,Overwhelm
Unit,Uncommon,The Empty Throne [Set1],Bladekin Apprentice,"Quickdraw When Bladekin Apprentice attacks, she gets +1 Strength."
Unit,Common,The Empty Throne [Set0],Blazing Renegade,Charge
Unit,Common,Omens of the Past [Set2],Blinkwolf,Warp
Unit,Common,Dark Frontier [Set6],Blurreechaser,Quickdraw Pay 1 and twist Blurreechaser to scout.
Unit,Rare,The Empty Throne [Set1],Brazen Daredevil,"Reckless When Brazen Daredevil attacks, she deals her Strength in damage to a random enemy."
Spell,Fast Spell,Common,Breath of Voprex,Deal 5 damage to an enemy unit unless the enemy player chooses to take 5 damage instead.
Spell,Uncommon,"Campaign
Homecoming [Set1005]",Casualties of the Cause,Deal 1 damage to one of your units and 4 damage to an enemy unit or site.
Attachment,Relic,Rare,Cauldron Cookbook,"Once per turn, you may pay 3 to put a Firebomb into your deck, then draw a card."
Unit,Uncommon,Dark Frontier [Set6],Cinder Sprite,"Charge , Overwhelm At the end of your turn or when Cinder Sprite deals damage, sacrifice it."
Unit,Rare,Dark Frontier [Set6],"Clodagh, Loyal Advisor","Quickdraw When you scout, Clodagh gets +1 Strength."
Attachment,Relic,Rare,Combustion Cell,"Once per turn, you may sacrifice a unit to get +1 power this turn. If it was a Grenadin, get +2 power this turn instead."
Spell,Fast Spell,Common,Conflagrate,Deal 3 damage to an enemy unit. Amplify 5: Deal 3 damage to an additional enemy unit.
Spell,Uncommon,The Fall of Argenport [Set4],Consuming Flames,Warp Sacrifice a unit to deal 3 damage to an enemy.
Unit,Common,Echoes of Eternity [Set8],Covetous Stranger,"When one or more Strangers attack, their owner creates and draws a Treasure Trove."
Spell,Fast Spell,Common,Daring Maneuver,Give a unit +2/+2 and Overwhelm this turn.
Spell,Fast Spell,Common,Desperate Gambit,Give one of your units +2/+1 this turn. Decimate: Give an additional one of your units +2/+1 this turn.
Unit,Uncommon,The Dusk Road [Set3],Disassembler,"When one of your Grenadin dies, deal 1 damage to the enemy player."
Spell,Uncommon,The Flame of Xulta [Set7],Edict of Shavka,"Edict of Shavka can't be negated or stopped by Aegis . Deal 1 damage to an enemy. If it's Justice or Primal, deal 5 damage to it instead."
Attachment,Relic,Rare,Factory Quota,"Players can't gain Health. At the end of each player's turn, if they didn't play a unit, deal 2 damage to them."
Unit,Uncommon,Defiance [Set5],Firemane Lioness,Amplify 2: Play a 1/1 Wildcat with Charge .
Unit,Rare,The Fall of Argenport [Set4],Flamebelcher,Overwhelm Infiltrate: Put 10 Firebombs into the bottom half of the enemy deck.
Unit,Common,The Fall of Argenport [Set4],Flamefang Charmer,Infiltrate: Create and draw a 3/1 Flamefang with Reckless .
Unit,Rare,The Empty Throne [Set1],Frontier Jito,Charge Your units that cost 1 or less have Charge .
Unit,Uncommon,The Fall of Argenport [Set4],Grenarender,Pay 1 and sacrifice Grenarender to kill an enemy attachment.
Spell,Fast Spell,Common,Guns Blazing,Warp Give a unit Quickdraw this turn.
Unit,Omens of the Past [Set2],Fire,Hellhound,Charge
Unit,Common,Dark Frontier [Set6],Horde Duelist,Charge
Unit,Common,The Fall of Argenport [Set4],Hotblood Barbarian,Berserk Summon: You may discard a card to create and draw Temper.
Unit,The Dusk Road [Set3],Fire,Hound,"Charge , Reckless"
Unit,Uncommon,Dark Frontier [Set6],Impatient Pyromage,"Onslaught: Draw a card and reduce its cost by 1 this turn. At the end of your turn, discard it."
Unit,Rare,Dark Frontier [Set6],Incendiary Slagmite,"Onslaught: Secretly choose a card in the enemy player's Market . The next time they draw a card from their Market , transform the chosen card into a Firebomb."
Spell,Fast Spell,Common,Into the Furnace,"Deal 2 damage to a unit. If you have a Grenadin in your void, Into the Furnace deals Double Damage ."
Unit,Promo,Dark Frontier [Set6],"Jishu, the Burning Brush","When you play another Oni, play a +1 Strength weapon with Overwhelm on it. Onslaught: You may move a weapon of your choice from your deck to the top."
Spell,Common,The Empty Throne [Set0],Kaleb's Favor,Deal 2 damage to the enemy player. Draw a Fire Sigil from your deck.
Unit,Echoes of Eternity [Set8],Fire,Kato Shade,"At the end of your turn, this gets -1 Health. Pay 1 and sacrifice Kato Shade to play a 0/1 Totemite. If you have then or more units in your void, play an 8/8 Giant instead."
Unit,Legendary,Echoes of Eternity [Set8],"Kato, Arena Herald","Summon: Play a 0/1 Totemite. If you have ten or more units in your void, play an 8/8 Giant instead. Corrupted 1"
Attachment,Relic Weapon,Rare,Miner's Musket,Summon: Reduce the cost of the top unit or relic of your deck by 2.
Unit,Defiance [Set5],Fire,Molten Phoenix,"Flying , Charge At the end of your turn, transform Molten Phoenix into a Phoenix Stone."
Unit,Rare,Defiance [Set5],Notorious Scoundrel,Renown: Play a +4/+2 weapon on Notorious Scoundrel and the enemy player plays a Wanted Poster on him.
Unit,Uncommon,The Dusk Road [Set3],Oni Cavediver,+2 Strength while you have a relic. Ultimate: Pay 2 to scout.
